Time, Ptotal,Regd,Time regD
1517,7875.502441,,
1517.25,7875.502441,,
1517.5,7875.502441,,
1517.75,7875.502441,,
1518,7875.502441,,
1518.25,7875.502441,,
1518.5,7875.502441,,
1518.75,7875.502441,,
1519,7875.502441,,
1519.25,7875.502441,,
1519.5,7875.502441,,
1519.75,7875.502441,,
1520,7875.502441,,
1520.25,7875.502441,,
1520.5,7875.502441,,
1520.75,7875.502441,,
1521,7875.502441,,
1521.25,7875.502441,,
1521.5,7875.502441,,
1521.75,7875.502441,0,1521.8
1522,7875.502441,0.056,1523.8
1522.25,7875.502441,0.1536,1525.8
1522.5,7875.502441,0.16,1527.8
1522.75,7875.502441,0.175,1529.8
1523,7875.502441,0.181,1531.8
1523.25,7875.502441,0.195,1533.8
1523.5,7875.502441,0.2,1535.8
1523.75,7875.502441,0.2,1537.8
1524,7875.502441,0.2,1539.8
1524.25,7875.502441,0.21,1541.8
1524.5,7875.502441,0.212,1543.8
1524.75,7875.502441,0.2,1545.8
1525,7875.502441,0.2,1547.8
1525.25,7875.502441,0.19,1549.8
1525.5,7875.502441,0.198,1551.8
1525.75,7875.502441,0.197,1553.8
1526,7875.502441,0.19,1555.8
1526.25,7875.502441,0.19,1557.8
1526.5,8082.667969,0.19,1559.8
1526.75,8232.383789,0.19,1561.8
1527,8502.217773,0.188,1563.8
1527.25,8930.06543,0.188,1565.8
1527.5,9165.292969,0.187,1567.8
1527.75,9190.758789,0.181,1569.8
1528,9578.99707,0.175,1571.8
1528.25,9909.477539,0.195886289,1573.8
1528.5,10079.51563,0.180028392,1575.8
1528.75,10731.66504,0.164170511,1577.8
1529,10900.86133,0.14831263,1579.8
1529.25,10931.41406,0.14831263,1581.8
1529.5,11224.43945,0.124423558,1583.8
1529.75,11402.95605,0.120384647,1585.8
1530,11425.38672,0.116345736,1587.8
1530.25,11425.38672,0.113448312,1589.8
1530.5,11601.64844,0.118717655,1591.8
1530.75,11601.64844,0.123986998,1593.8
1531,11601.64844,0.129256341,1595.8
1531.25,11601.64844,0.134525684,1597.8
1531.5,11789.65527,0.13572496,1599.8
1531.75,11789.65527,0.136924251,1601.8
1532,11789.65527,0.138123528,1603.8
1532.25,11789.65527,0.14433307,1605.8
1532.5,11989.40625,0.150542628,1607.8
1532.75,11989.40625,0.156752171,1609.8
1533,11989.40625,0.162961729,1611.8
1533.25,11989.40625,0.169171272,1613.8
1533.5,11989.40723,0.168796047,1615.8
1533.75,11989.40723,0.168420822,1617.8
1534,11989.40723,0.168045598,1619.8
1534.25,11989.40723,0.167670373,1621.8
1534.5,11989.40723,0.167295133,1623.8
1534.75,11989.40723,0.166919908,1625.8
1535,11989.40723,0.166544684,1627.8
1535.25,11989.40723,0.166169459,1629.8
1535.5,11989.40723,0.165794234,1631.8
1535.75,11989.40723,0.164296781,1633.8
1536,11989.40723,0.162799312,1635.8
1536.25,11989.40723,0.161301859,1637.8
1536.5,11989.40723,0.15980439,1639.8
1536.75,11989.40723,0.158306937,1641.8
1537,11989.40723,0.156809468,1643.8
1537.25,11989.40723,0.155312015,1645.8
1537.5,11989.40723,0.153814547,1647.8
1537.75,11989.40723,0.152317093,1649.8
1538,11989.40723,0.156350397,1651.8
1538.25,11989.40723,0.160383701,1653.8
1538.5,11989.40723,0.164417005,1655.8
1538.75,11989.40723,0.168450309,1657.8
1539,11989.40723,0.172483613,1659.8
1539.25,11989.40723,0.176516917,1661.8
1539.5,11989.40723,0.181545073,1663.8
1539.75,11989.40723,0.186573229,1665.8
1540,11989.40723,0.181368997,1667.8
1540.25,11989.40723,0.176164781,1669.8
1540.5,11989.40723,0.170960549,1671.8
1540.75,11989.40723,0.165756318,1673.8
1541,11989.40723,0.164848405,1675.8
1541.25,11989.40723,0.163940491,1677.8
1541.5,11989.40723,0.163032563,1679.8
1541.75,11989.40723,0.162124649,1681.8
1542,11989.40723,0.165971756,1683.8
1542.25,11989.40723,0.169818878,1685.8
1542.5,11989.40723,0.173665985,1687.8
1542.75,11989.40723,0.177513092,1689.8
1543,11989.40723,0.183535268,1691.8
1543.25,11989.40723,0.189557445,1693.8
1543.5,11989.40723,0.195579606,1695.8
1543.75,11989.40723,0.201601782,1697.8
1544,11989.40723,0.203299984,1699.8
1544.25,11989.40723,0.204998186,1701.8
1544.5,11989.40723,0.220108694,1703.8
1544.75,11989.40723,0.223463274,1705.8
1545,11989.40723,0.226817869,1707.8
1545.25,11989.40723,0.23017245,1709.8
1545.5,11989.40723,0.23352703,1711.8
1545.75,11989.40723,0.240916652,1713.8
1546,11989.40723,0.23922831,1715.8
1546.25,11989.40723,0.237539953,1717.8
1546.5,11989.40723,0.243286902,1719.8
1546.75,11979.88867,0.249033866,1721.8
1547,11976.25391,0.254780815,1723.8
1547.25,11971.4248,0.248860498,1725.8
1547.5,11960.87012,0.24294018,1727.8
1547.75,11956.36719,0.231197373,1729.8
