Time, Ptotal,regD,Time regD,Power
21914,9999.999023,,,
21914.25,9999.999023,,,
21914.5,9999.999023,,,
21914.75,9999.999023,,,
21915,9999.999023,,,
21915.25,9999.999023,,,
21915.5,9999.999023,,,
21915.75,9999.999023,,,
21916,9999.999023,,,
21916.25,9999.999023,,,
21916.5,9999.999023,,,
21916.75,9999.999023,,,
21917,9999.999023,,,
21917.25,9999.999023,,,
21917.5,9999.999023,,,
21917.75,9999.999023,,,
21918,9999.999023,,,
21918.25,9999.999023,,,
21918.5,9999.999023,,,
21918.75,9999.999023,-0.357200265,21918.75,6427.99735
21919,9999.999023,-0.36538041,21920.75,6346.1959
21919.25,9999.999023,-0.36314197,21922.75,6368.5803
21919.5,9999.999023,-0.360903498,21924.75,6390.96502
21919.75,9999.999023,-0.358665058,21926.75,6413.34942
21920,9999.999023,-0.356426618,21928.75,6435.73382
21920.25,9999.999023,-0.344836609,21930.75,6551.63391
21920.5,9999.999023,-0.333246601,21932.75,6667.53399
21920.75,9999.999023,-0.311513485,21934.75,6884.86515
21921,9999.999023,-0.289780339,21936.75,7102.19661
21921.25,9999.999023,-0.283356554,21938.75,7166.43446
21921.5,9999.999023,-0.27693277,21940.75,7230.6723
21921.75,9999.999023,-0.270508986,21942.75,7294.91014
21922,9999.999023,-0.264085217,21944.75,7359.14783
21922.25,9999.999023,-0.257661433,21946.75,7423.38567
21922.5,9999.999023,-0.258352184,21948.75,7416.47816
21922.75,9999.999023,-0.259042951,21950.75,7409.57049
21923,9876.067383,-0.259733701,21952.75,7402.66299
21923.25,9797.958984,-0.260424452,21954.75,7395.75548
21923.5,9664.155273,-0.246599702,21956.75,7534.00298
21923.75,9535.800781,-0.232774935,21958.75,7672.25065
21924,9379.771484,-0.218950185,21960.75,7810.49815
21924.25,9124.1875,-0.197101363,21962.75,8028.98637
21924.5,8794.62207,-0.175252556,21964.75,8247.47444
21924.75,8585.790039,-0.153403733,21966.75,8465.96267
21925,8417.736328,-0.131554919,21968.75,8684.45081
21925.25,8321.115234,-0.125743138,21970.75,8742.56862
21925.5,8265.416016,-0.119931364,21972.75,8800.68636
21925.75,7967.426758,-0.114119583,21974.75,8858.80417
21926,7620.082031,-0.123700116,21976.75,8762.99884
21926.25,7556.645996,-0.133280642,21978.75,8667.19358
21926.5,7524.945313,-0.142861175,21980.75,8571.38825
21926.75,7479.045898,-0.136943604,21982.75,8630.56396
21927,7478.546387,-0.131026017,21984.75,8689.73983
21927.25,7478.546387,-0.125108439,21986.75,8748.91561
21927.5,7478.546387,-0.106216126,21988.75,8937.83874
21927.75,7386.554688,-0.087323821,21990.75,9126.76179
21928,7345.267578,-0.068431508,21992.75,9315.68492
21928.25,7345.267578,-0.049539203,21994.75,9504.60797
21928.5,7345.267578,-0.030646891,21996.75,9693.53109
21928.75,7218.617188,-0.000482823,21998.75,9995.17177
21929,7218.617188,0.015711061,22000.75,10157.11061
21929.25,7218.617188,0.042560474,22002.75,10425.60474
21929.5,7218.617188,0.042560474,22004.75,10425.60474
21929.75,7137.866211,0.085195625,22006.75,10851.95625
21930,7137.92627,0.107601053,22008.75,11076.01053
21930.25,7137.92627,0.130006489,22010.75,11300.06489
21930.5,7137.92627,0.152411916,22012.75,11524.11916
21930.75,7137.92627,0.174817352,22014.75,11748.17352
21931,7137.92627,0.197222772,22016.75,11972.22772
21931.25,7137.92627,0.219628208,22018.75,12196.28208
21931.5,7137.92627,0.237743258,22020.75,12377.43258
21931.75,7137.92627,0.255858309,22022.75,12558.58309
21932,7137.92627,0.264889925,22024.75,12648.89925
21932.25,7137.92627,0.283595309,22026.75,12835.95309
21932.5,7137.92627,0.302300677,22028.75,13023.00677
21932.75,7137.92627,0.321006045,22030.75,13210.06045
21933,7137.92627,0.348003526,22032.75,13480.03526
21933.25,7137.92627,0.375000973,22034.75,13750.00973
21933.5,7137.92627,0.401998453,22036.75,14019.98453
21933.75,7137.92627,0.428995934,22038.75,14289.95934
21934,7137.92627,0.455993381,22040.75,14559.93381
21934.25,7137.92627,0.482990861,22042.75,14829.90861
21934.5,7137.92627,0.509337959,22044.75,15093.37959
