Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.25, -1050.4617919921875, -2213.13232421875, 0.49943777918815613, -1015.1585693359375, 8000.0, 2000.0
0.5, -499.206298828125, -2343.9052734375, 0.4994369149208069, -516.39306640625, 8000.0, 2000.0
0.75, -417.7939147949219, -2423.783935546875, 0.4994361102581024, -369.1934814453125, 8000.0, 2000.0
1.0, -514.053466796875, -2478.592529296875, 0.4994353950023651, -588.0381469726562, 8000.0, 2000.0
1.25, -481.33477783203125, -2481.7001953125, 0.4994346797466278, -634.0140991210938, 8000.0, 2000.0
1.5, -658.9771728515625, -2507.3603515625, 0.4994339942932129, -737.79833984375, 8000.0, 2000.0
1.75, -682.7808227539062, -2549.59228515625, 0.49943339824676514, -817.1585083007812, 8000.0, 2000.0
2.0, -758.879638671875, -2561.76318359375, 0.4994330108165741, -1085.6575927734375, 8000.0, 2000.0
2.25, -871.5968627929688, -2518.904052734375, 0.4994325637817383, -930.87158203125, 8000.0, 2000.0
2.5, -894.5468139648438, -2539.548095703125, 0.49943187832832336, -1184.052734375, 8000.0, 2000.0
2.75, -1038.338134765625, -2526.789794921875, 0.49943116307258606, -1127.4346923828125, 8000.0, 2000.0
3.0, -1265.716552734375, -2565.655029296875, 0.49943050742149353, -1075.748779296875, 8000.0, 2000.0
3.25, -1095.6741943359375, -2539.90576171875, 0.4994299113750458, -1296.9920654296875, 8000.0, 2000.0
3.5, -1174.8946533203125, -2512.70458984375, 0.499429315328598, -1233.98583984375, 8000.0, 2000.0
3.75, -1298.7691650390625, -2522.310791015625, 0.49942857027053833, -1115.660400390625, 8000.0, 2000.0
4.0, -1304.9620361328125, -2542.74658203125, 0.4994277060031891, -1149.7108154296875, 8000.0, 2000.0
4.25, -1270.0308837890625, -2515.42626953125, 0.4994269609451294, -1227.2725830078125, 8000.0, 2000.0
4.5, -1204.6143798828125, -2556.50341796875, 0.4994260370731354, -1134.8990478515625, 8000.0, 2000.0
4.75, -1389.4820556640625, -2549.0166015625, 0.49942511320114136, -1145.4158935546875, 8000.0, 2000.0
5.0, -1121.5123291015625, -2556.6884765625, 0.49942436814308167, -1245.52880859375, 8000.0, 2000.0
5.25, -1201.6319580078125, -2530.163818359375, 0.4994237720966339, -1265.15185546875, 8000.0, 2000.0
5.5, -1194.694091796875, -2526.028076171875, 0.49942293763160706, -1252.417724609375, 8000.0, 2000.0
5.75, -1180.52001953125, -2520.500732421875, 0.4994221329689026, -1152.9366455078125, 8000.0, 2000.0
6.0, -1231.19970703125, -2557.741943359375, 0.4994213283061981, -1426.668212890625, 8000.0, 2000.0
6.25, -1137.1334228515625, -2536.044677734375, 0.49942052364349365, -1337.200439453125, 8000.0, 2000.0
6.5, -1165.1162109375, -2545.313720703125, 0.49941977858543396, -1239.241943359375, 8000.0, 2000.0
