Time,RegD
0,25
4,25
8,-17
12,-75
16,-173
20,-286
24,-399
28,-524
32,-654
36,-784
40,-914
44,-1044
48,-1174
52,-1304
56,-1397
60,-1477
64,-1556
68,-1607
72,-1647
76,-1687
80,-1727
84,-1737
88,-1737
92,-1736
96,-1698
100,-1645
104,-1592
108,-1540
112,-1487
116,-1434
120,-1381
124,-1308
128,-1228
132,-1147
136,-1066
140,-1044
144,-995
148,-929
152,-863
156,-796
160,-745
164,-699
168,-644
172,-586
176,-540
180,-500
184,-459
188,-418
192,-377
196,-314
200,-244
204,-173
208,-102
212,-32
216,38
220,108
224,179
228,263
232,353
236,443
240,533
244,626
248,721
252,816
256,910
260,974
264,1026
268,1078
272,1129
276,1171
280,1208
284,1246
288,1283
292,1320
296,1380
300,1449
304,1517
308,1586
312,1684
316,1793
320,1902
324,1980
328,2062
332,2176
336,2288
340,2399
344,2509
348,2642
352,2784
356,2925
360,3067
364,3209
368,3312
372,3401
376,3490
380,3563
384,3630
388,3697
392,3764
396,3831
400,3898
404,3965
408,3983
412,3982
416,3981
420,3981
424,3980
428,3979
432,3979
436,3978
440,3977
444,3977
448,3976
452,3975
456,3975
460,3974
464,3973
468,3973
472,3944
476,3904
480,3865
484,3805
488,3737
492,3670
496,3602
500,3535
504,3467
508,3399
512,3332
516,3264
520,3197
524,3131
528,3064
532,2998
536,2931
540,2865
544,2798
548,2732
552,2666
556,2599
560,2533
564,2465
568,2396
572,2328
576,2260
580,2191
584,2123
588,2076
592,2038
596,2001
600,1963
604,1925
608,1887
612,1864
616,1846
620,1829
624,1812
628,1794
632,1777
636,1760
640,1742
644,1742
648,1749
652,1756
656,1763
660,1770
664,1777
668,1784
672,1786
676,1787
680,1787
684,1787
688,1787
692,1788
696,1788
700,1788
704,1789
708,1816
712,1854
716,1891
720,1928
724,1977
728,2029
732,2081
736,2133
740,2186
744,2213
748,2232
752,2250
756,2269
760,2288
764,2306
768,2325
772,2343
776,2362
780,2363
784,2358
788,2353
792,2322
796,2282
800,2242
804,2184
808,2119
812,2054
816,1989
820,1924
824,1859
828,1794
