Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, 6964.8037109375, 0.0
0.5, 25.0, 13025.244140625, 0.0
0.75, 25.0, 14330.296875, 0.0
1.0, 25.0, 14617.4931640625, 0.0
1.25, 25.0, 14651.2138671875, 0.0
1.5, 25.0, 14621.1943359375, 0.0
1.75, 25.0, 14559.8662109375, 0.0
2.0, 25.0, 14419.9931640625, 0.0
2.25, 25.0, 14298.51171875, 0.0
2.5, 25.0, 14253.716796875, 0.0
2.75, 25.0, 14228.4169921875, 0.0
3.0, 25.0, 14217.119140625, 0.0
3.25, 25.0, 14225.5908203125, 0.0
3.5, 25.0, 14248.1064453125, 0.0
3.75, 25.0, 14276.3662109375, 0.0
4.0, 25.0, 14294.251953125, 0.0
4.25, 25.0, 14297.7373046875, 0.0
4.5, 25.0, 14282.7041015625, 0.0
4.75, 25.0, 14260.41015625, 0.0
5.0, 25.0, 14239.4130859375, 0.0
5.25, 25.0, 14228.275390625, 0.0
5.5, 25.0, 14226.71875, 0.0
5.75, 25.0, 14230.1474609375, 0.0
6.0, 25.0, 14228.96484375, 0.0
6.25, 25.0, 14217.677734375, 0.0
6.5, 25.0, 14197.7734375, 0.0
6.75, 25.0, 14172.7822265625, 0.0
7.0, -6.501049995422363, 14153.4462890625, 0.0
7.25, -6.501049995422363, 14152.7568359375, 0.0
7.5, -6.501049995422363, 14167.0771484375, 0.0
7.75, -6.501049995422363, 14194.1875, 0.0
8.0, -6.501049995422363, 14218.94140625, 0.0
8.25, -6.501049995422363, 14232.53125, 0.0
8.5, -6.501049995422363, 14228.5205078125, 0.0
8.75, -6.501049995422363, 14211.4892578125, 0.0
9.0, -6.501049995422363, 14185.484375, 0.0
9.25, -6.501049995422363, 14168.3466796875, 0.0
9.5, -6.501049995422363, 14161.435546875, 0.0
9.75, -6.501049995422363, 14162.5224609375, 0.0
10.0, -6.501049995422363, 14165.7294921875, 0.0
10.25, -6.501049995422363, 14160.3798828125, 0.0
10.5, -6.501049995422363, 14144.07421875, 0.0
10.75, -6.501049995422363, 14120.5439453125, 0.0
11.0, -60.50144958496094, 14097.4658203125, 0.0
11.25, -60.50144958496094, 14084.939453125, 0.0
11.5, -60.50144958496094, 14091.4599609375, 0.0
11.75, -60.50144958496094, 14112.8212890625, 0.0
12.0, -60.50144958496094, 14139.4765625, 0.0
12.25, -60.50144958496094, 14161.8544921875, 0.0
12.5, -60.50144958496094, 14167.46484375, 0.0
12.75, -60.50144958496094, 14156.3056640625, 0.0
13.0, -60.50144958496094, 14135.29296875, 0.0
13.25, -60.50144958496094, 14112.103515625, 0.0
13.5, -60.50144958496094, 14098.4619140625, 0.0
13.75, -60.50144958496094, 14095.0791015625, 0.0
14.0, -60.50144958496094, 14098.0068359375, 0.0
14.25, -60.50144958496094, 14099.283203125, 0.0
14.5, -60.50144958496094, 14089.9912109375, 0.0
14.75, -60.50144958496094, 14070.3994140625, 0.0
15.0, -148.50245666503906, 14045.6025390625, 0.0
15.25, -148.50245666503906, 14025.576171875, 0.0
15.5, -148.50245666503906, 14021.810546875, 0.0
15.75, -148.50245666503906, 14033.056640625, 0.0
16.0, -148.50245666503906, 14058.666015625, 0.0
16.25, -148.50245666503906, 14084.109375, 0.0
16.5, -148.50245666503906, 14100.2978515625, 0.0
16.75, -148.50245666503906, 14099.27734375, 0.0
17.0, -148.50245666503906, 14084.005859375, 0.0
17.25, -148.50245666503906, 14062.0146484375, 0.0
17.5, -148.50245666503906, 14041.44140625, 0.0
17.75, -148.50245666503906, 14031.4521484375, 0.0
18.0, -148.50245666503906, 14032.2890625, 0.0
18.25, -148.50245666503906, 14036.23828125, 0.0
18.5, -148.50245666503906, 14031.892578125, 0.0
18.75, -148.50245666503906, 14018.4013671875, 0.0
19.0, -257.7528381347656, 13995.58203125, 0.0
19.25, -257.7528381347656, 13970.9970703125, 0.0
19.5, -257.7528381347656, 13956.634765625, 0.0
19.75, -257.7528381347656, 13958.8291015625, 0.0
20.0, -257.7528381347656, 13978.6904296875, 0.0
20.25, -257.7528381347656, 14005.3095703125, 0.0
20.5, -257.7528381347656, 14027.2509765625, 0.0
20.75, -257.7528381347656, 14036.59375, 0.0
21.0, -257.7528381347656, 14028.5234375, 0.0
21.25, -257.7528381347656, 14007.64453125, 0.0
21.5, -257.7528381347656, 13985.1337890625, 0.0
21.75, -257.7528381347656, 13970.1181640625, 0.0
22.0, -257.7528381347656, 13965.953125, 0.0
22.25, -257.7528381347656, 13968.2373046875, 0.0
22.5, -257.7528381347656, 13969.55078125, 0.0
22.75, -257.7528381347656, 13962.13671875, 0.0
23.0, -370.7528381347656, 13941.1728515625, 0.0
23.25, -370.7528381347656, 13918.412109375, 0.0
23.5, -370.7528381347656, 13897.5087890625, 0.0
23.75, -370.7528381347656, 13889.7451171875, 0.0
24.0, -370.7528381347656, 13902.9658203125, 0.0
24.25, -370.7528381347656, 13926.919921875, 0.0
24.5, -370.7528381347656, 13952.7373046875, 0.0
24.75, -370.7528381347656, 13969.0849609375, 0.0
25.0, -370.7528381347656, 13969.986328125, 0.0
25.25, -370.7528381347656, 13955.5419921875, 0.0
25.5, -370.7528381347656, 13932.6455078125, 0.0
25.75, -370.7528381347656, 13912.4267578125, 0.0
26.0, -370.7528381347656, 13901.697265625, 0.0
26.25, -370.7528381347656, 13903.1689453125, 0.0
26.5, -370.7528381347656, 13905.6591796875, 0.0
26.75, -370.7528381347656, 13903.798828125, 0.0
27.0, -492.75311279296875, 13889.900390625, 0.0
27.25, -492.75311279296875, 13867.513671875, 0.0
27.5, -492.75311279296875, 13842.1064453125, 0.0
27.75, -492.75311279296875, 13826.0390625, 0.0
28.0, -492.75311279296875, 13827.1171875, 0.0
28.25, -492.75311279296875, 13846.640625, 0.0
28.5, -492.75311279296875, 13872.0810546875, 0.0
28.75, -492.75311279296875, 13894.984375, 0.0
29.0, -492.75311279296875, 13906.98046875, 0.0
29.25, -492.75311279296875, 13900.5693359375, 0.0
29.5, -492.75311279296875, 13881.94140625, 0.0
29.75, -492.75311279296875, 13858.54296875, 0.0
30.0, -492.75311279296875, 13841.91796875, 0.0
30.25, -492.75311279296875, 13837.4912109375, 0.0
30.5, -492.75311279296875, 13840.263671875, 0.0
30.75, -492.75311279296875, 13841.83203125, 0.0
31.0, -621.5032348632812, 13834.533203125, 0.0
31.25, -621.5032348632812, 13817.458984375, 0.0
31.5, -621.5032348632812, 13792.005859375, 0.0
31.75, -621.5032348632812, 13769.72265625, 0.0
32.0, -621.5032348632812, 13761.599609375, 0.0
32.25, -621.5032348632812, 13768.1064453125, 0.0
32.5, -621.5032348632812, 13791.673828125, 0.0
32.75, -621.5032348632812, 13818.115234375, 0.0
33.0, -621.5032348632812, 13836.615234375, 0.0
33.25, -621.5032348632812, 13840.2041015625, 0.0
33.5, -621.5032348632812, 13828.2021484375, 0.0
33.75, -621.5032348632812, 13807.8076171875, 0.0
34.0, -621.5032348632812, 13787.833984375, 0.0
34.25, -621.5032348632812, 13775.560546875, 0.0
34.5, -621.5032348632812, 13771.013671875, 0.0
34.75, -621.5032348632812, 13773.3232421875, 0.0
35.0, -751.5032348632812, 13772.8212890625, 0.0
35.25, -751.5032348632812, 13761.697265625, 0.0
35.5, -751.5032348632812, 13742.486328125, 0.0
35.75, -751.5032348632812, 13718.3515625, 0.0
36.0, -751.5032348632812, 13698.810546875, 0.0
36.25, -751.5032348632812, 13696.6181640625, 0.0
36.5, -751.5032348632812, 13710.8427734375, 0.0
36.75, -751.5032348632812, 13736.8720703125, 0.0
37.0, -751.5032348632812, 13761.5498046875, 0.0
37.25, -751.5032348632812, 13775.791015625, 0.0
37.5, -751.5032348632812, 13772.4931640625, 0.0
37.75, -751.5032348632812, 13753.9736328125, 0.0
38.0, -751.5032348632812, 13732.7822265625, 0.0
38.25, -751.5032348632812, 13713.2060546875, 0.0
38.5, -751.5032348632812, 13707.033203125, 0.0
38.75, -751.5032348632812, 13707.7763671875, 0.0
39.0, -881.5032348632812, 13709.337890625, 0.0
39.25, -881.5032348632812, 13705.3701171875, 0.0
39.5, -881.5032348632812, 13688.7841796875, 0.0
39.75, -881.5032348632812, 13665.2939453125, 0.0
40.0, -881.5032348632812, 13642.8984375, 0.0
40.25, -881.5032348632812, 13631.2744140625, 0.0
40.5, -881.5032348632812, 13636.4541015625, 0.0
40.75, -881.5032348632812, 13659.451171875, 0.0
41.0, -881.5032348632812, 13683.9345703125, 0.0
41.25, -881.5032348632812, 13704.50390625, 0.0
41.5, -881.5032348632812, 13709.65234375, 0.0
41.75, -881.5032348632812, 13700.58984375, 0.0
42.0, -881.5032348632812, 13679.802734375, 0.0
42.25, -881.5032348632812, 13658.740234375, 0.0
42.5, -881.5032348632812, 13644.7783203125, 0.0
42.75, -881.5032348632812, 13641.5146484375, 0.0
43.0, -1011.5032348632812, 13645.294921875, 0.0
43.25, -1011.5032348632812, 13644.083984375, 0.0
43.5, -1011.5032348632812, 13633.9697265625, 0.0
43.75, -1011.5032348632812, 13615.0078125, 0.0
44.0, -1011.5032348632812, 13589.37890625, 0.0
44.25, -1011.5032348632812, 13572.28515625, 0.0
44.5, -1011.5032348632812, 13566.376953125, 0.0
44.75, -1011.5032348632812, 13579.0947265625, 0.0
45.0, -1011.5032348632812, 13603.796875, 0.0
45.25, -1011.5032348632812, 13629.021484375, 0.0
45.5, -1011.5032348632812, 13643.931640625, 0.0
45.75, -1011.5032348632812, 13643.197265625, 0.0
46.0, -1011.5032348632812, 13628.1865234375, 0.0
46.25, -1011.5032348632812, 13604.7548828125, 0.0
46.5, -1011.5032348632812, 13585.962890625, 0.0
46.75, -1011.5032348632812, 13577.05859375, 0.0
47.0, -1141.5032958984375, 13576.783203125, 0.0
47.25, -1141.5032958984375, 13579.9951171875, 0.0
47.5, -1141.5032958984375, 13576.4482421875, 0.0
47.75, -1141.5032958984375, 13562.365234375, 0.0
48.0, -1141.5032958984375, 13540.615234375, 0.0
48.25, -1141.5032958984375, 13515.82421875, 0.0
48.5, -1141.5032958984375, 13503.982421875, 0.0
48.75, -1141.5032958984375, 13505.6337890625, 0.0
49.0, -1141.5032958984375, 13524.6337890625, 0.0
49.25, -1141.5032958984375, 13549.3994140625, 0.0
49.5, -1141.5032958984375, 13572.2236328125, 0.0
49.75, -1141.5032958984375, 13580.123046875, 0.0
50.0, -1141.5032958984375, 13573.4931640625, 0.0
50.25, -1141.5032958984375, 13553.259765625, 0.0
50.5, -1141.5032958984375, 13531.646484375, 0.0
