Time, Ptotal
0.25,9999.999023
0.5,9999.999023
0.75,9999.999023
1,9999.999023
1.25,9999.999023
1.5,9999.999023
1.75,9999.999023
2,9999.999023
2.25,9999.999023
2.5,9999.999023
2.75,9999.999023
3,9999.999023
3.25,9999.999023
3.5,9999.999023
3.75,9999.999023
4,9999.999023
4.25,9999.999023
4.5,9999.999023
4.75,9999.999023
5,9999.999023
5.25,9999.999023
5.5,9999.999023
5.75,9999.999023
6,9999.999023
6.25,9999.999023
6.5,9999.999023
6.75,9999.999023
7,9999.999023
7.25,9999.999023
7.5,9999.999023
7.75,9999.999023
8,9999.999023
8.25,9999.999023
8.5,9999.999023
8.75,9999.999023
9,9999.999023
9.25,9999.999023
9.5,9999.999023
9.75,9999.999023
10,9999.999023
10.25,9999.999023
10.5,9999.999023
10.75,9999.999023
11,9999.999023
11.25,9999.999023
11.5,9999.999023
11.75,9999.999023
12,9999.999023
12.25,9999.999023
12.5,9999.999023
12.75,9999.999023
13,9999.999023
13.25,9999.999023
13.5,9999.999023
13.75,9999.999023
14,9999.999023
14.25,9999.999023
14.5,9999.999023
14.75,9999.999023
15,9999.999023
15.25,9999.999023
15.5,9999.999023
15.75,9999.999023
16,9999.999023
16.25,9999.999023
16.5,9999.999023
16.75,9999.999023
17,9999.999023
17.25,9999.999023
17.5,9999.999023
17.75,9999.999023
18,9999.999023
18.25,9999.999023
18.5,9999.999023
18.75,9999.999023
19,9999.999023
19.25,9999.999023
19.5,9999.999023
19.75,9999.999023
20,9999.999023
20.25,9999.999023
20.5,9999.999023
20.75,9999.999023
21,9999.999023
21.25,9999.999023
21.5,9999.999023
21.75,9999.999023
22,9999.999023
22.25,9999.999023
22.5,9999.999023
22.75,9999.999023
23,9999.999023
23.25,9999.999023
23.5,9999.999023
23.75,9999.999023
24,9999.999023
24.25,9999.999023
24.5,9999.999023
24.75,9999.999023
25,9999.999023
25.25,9999.999023
25.5,9999.999023
25.75,9999.999023
26,9999.999023
26.25,9999.999023
26.5,9999.999023
26.75,9999.999023
27,9999.999023
27.25,9999.999023
27.5,9999.999023
27.75,9999.999023
28,9999.999023
28.25,9999.999023
28.5,9999.999023
28.75,9999.999023
29,9999.999023
29.25,9999.999023
29.5,9999.999023
29.75,9999.999023
30,9999.999023
30.25,9999.999023
30.5,9999.999023
30.75,9999.999023
31,9999.999023
31.25,9999.999023
31.5,9999.999023
31.75,9999.999023
32,9999.999023
32.25,9999.999023
32.5,9999.999023
32.75,9999.999023
33,9999.999023
33.25,9999.999023
33.5,9999.999023
33.75,9999.999023
34,9999.999023
34.25,9999.999023
34.5,10108.2373
34.75,10153.42676
35,10237.11523
35.25,10410.5918
35.5,10498.53516
35.75,10498.53516
36,10680.45508
36.25,10896.70996
36.5,11050.79199
36.75,11213.35645
37,11345.93945
37.25,11345.93945
37.5,11507.79785
37.75,11686.97559
38,11718.20313
38.25,11718.20313
38.5,11776.55762
38.75,11776.55762
39,11776.55762
39.25,11776.55762
39.5,11866.14063
39.75,11866.14063
40,11866.14063
40.25,11866.14063
40.5,11954.1582
40.75,11958.18164
41,11958.18164
41.25,11958.18164
41.5,11989.40918
41.75,11989.40918
42,11989.40918
42.25,11989.40918
42.5,11989.40918
42.75,11989.40918
43,11989.40918
43.25,11989.40918
43.5,11989.40918
43.75,11989.40918
44,11989.40918
44.25,11989.40918
44.5,11989.40918
44.75,11989.40918
45,11989.40918
45.25,11989.40918
45.5,11989.40918
45.75,11989.40918
46,11989.40918
46.25,11989.40918
46.5,11989.40918
46.75,11989.40918
47,11989.40918
47.25,11989.40918
47.5,11989.40918
47.75,11989.40918
48,11989.40918
48.25,11989.40918
48.5,11989.40918
48.75,11989.40918
49,11989.40918
49.25,11989.40918
49.5,11989.40918
49.75,11989.40918
50,11989.40918
50.25,11989.40918
50.5,11989.40918
50.75,11989.40918
51,11989.40918
51.25,11989.40918
51.5,11989.40918
51.75,11989.40918
52,11989.40918
52.25,11989.40918
52.5,11989.40918
52.75,11989.40918
53,11989.40918
53.25,11989.40918
53.5,11989.40918
53.75,11989.40918
54,11989.40918
54.25,11989.40918
54.5,11989.40918
54.75,11981.39355
55,11979.88672
55.25,11976.27832
55.5,11968.88184
55.75,11964.37793
56,11959.05957
56.25,11955.6748
56.5,11943.87891
56.75,11933.88672
57,11932.12305
57.25,11927.89551
57.5,11927.89551
57.75,11907.86133
58,11906.94043
58.25,11903.94531
58.5,11903.94531
58.75,11900.69434
59,11900.44727
59.25,11900.44727
59.5,11900.44727
59.75,11895.94629
60,11895.94629
60.25,11895.94629
60.5,11895.94629
60.75,11891.45215
61,11891.45215
61.25,11891.45215
61.5,11891.45215
61.75,11889.95508
62,11889.95508
62.25,11889.95508
62.5,11889.95508
62.75,11889.95508
63,11889.95508
63.25,11889.95508
63.5,11889.95508
63.75,11889.95508
64,11889.95508
64.25,11889.95508
64.5,11889.95508
64.75,11889.95508
65,11889.95508
65.25,11889.95508
65.5,11889.95508
65.75,11889.95508
66,11889.95508
66.25,11889.95508
66.5,11889.95508
66.75,11889.95508
67,11889.95508
67.25,11889.95508
67.5,11889.95508
67.75,11889.95508
68,11889.95508
68.25,11889.95508
68.5,11889.95508
68.75,11889.95508
69,11889.95508
69.25,11889.95508
69.5,11889.95508
69.75,11889.95508
70,11889.95508
70.25,11889.95508
70.5,11889.95508
70.75,11889.95508
71,11889.95508
71.25,11889.95508
71.5,11889.95508
71.75,11889.95508
72,11889.95508
72.25,11889.95508
72.5,11889.95508
72.75,11889.95508
73,11889.95508
73.25,11889.95508
73.5,11889.95508
73.75,11889.95508
74,11889.95508
74.25,11889.95508
74.5,11889.95508
74.75,11889.95508
75,11887.85352
75.25,11880.44922
75.5,11866.86523
75.75,11843.30469
76,11813.36426
76.25,11781.45801
76.5,11734.19922
76.75,11701.35352
77,11671.43457
77.25,11642.97656
77.5,11632.98535
77.75,11632.98535
78,11546.02246
78.25,11533.68359
78.5,11533.60645
78.75,11527.31445
79,11525.26074
79.25,11525.26074
79.5,11525.26074
79.75,11513.12402
80,11506.45215
80.25,11506.45215
80.5,11506.45215
80.75,11495.96777
81,11481.53027
81.25,11481.53027
81.5,11481.53027
81.75,11481.53027
82,11475.32813
82.25,11475.32813
82.5,11475.32813
82.75,11475.32813
83,11475.32813
83.25,11475.32813
83.5,11475.32813
83.75,11475.32813
84,11475.32813
84.25,11475.32813
84.5,11475.32813
84.75,11475.32813
85,11475.32813
85.25,11475.32813
85.5,11475.32813
85.75,11475.32813
86,11475.32813
86.25,11475.32813
86.5,11475.32813
86.75,11475.32813
87,11475.32813
87.25,11475.32813
87.5,11475.32813
87.75,11475.32813
88,11475.32813
88.25,11475.32813
88.5,11475.32813
88.75,11475.32813
89,11475.32813
89.25,11475.32813
89.5,11475.32813
89.75,11475.32813
90,11475.32813
90.25,11475.32813
90.5,11475.32813
90.75,11475.32813
91,11475.32813
91.25,11475.32813
91.5,11475.32813
91.75,11475.32813
92,11475.32813
92.25,11475.32813
92.5,11475.32813
92.75,11475.32813
93,11475.32813
93.25,11475.32813
93.5,11475.32813
93.75,11475.32813
94,11475.32813
94.25,11475.32813
94.5,11475.32813
94.75,11475.32813
95,11475.32813
95.25,11475.32813
95.5,11472.80664
95.75,11467.75781
96,11454.7168
96.25,11453.42676
96.5,11442.5332
96.75,11427.58301
97,11420.35449
97.25,11419.53906
97.5,11409.46973
97.75,11404.43652
98,11380.48242
98.25,11373.95801
98.5,11370.1875
98.75,11370.1875
99,11365.78223
99.25,11365.1582
99.5,11365.1582
99.75,11365.1582
100,11359.48535
100.25,11359.48535
100.5,11359.48535
100.75,11359.48535
101,11353.82324
101.25,11353.82324
101.5,11353.82324
101.75,11353.82324
102,11350.05273
102.25,11350.05273
102.5,11350.05273
102.75,11350.05273
103,11350.05273
103.25,11350.05273
103.5,11350.05273
103.75,11350.05273
104,11350.05273
104.25,11350.05273
104.5,11350.05273
104.75,11350.05273
105,11350.05273
105.25,11350.05273
105.5,11350.05273
105.75,11350.05273
106,11350.05273
106.25,11350.05273
106.5,11350.05273
106.75,11350.05273
107,11350.05273
107.25,11350.05273
107.5,11350.05273
107.75,11350.05273
108,11350.05273
108.25,11350.05273
108.5,11350.05273
108.75,11350.05273
109,11350.05273
109.25,11350.05273
109.5,11350.05273
109.75,11350.05273
110,11350.05273
110.25,11350.05273
110.5,11350.05273
110.75,11350.05273
111,11350.05273
111.25,11350.05273
111.5,11350.05273
111.75,11350.05273
112,11350.05273
112.25,11350.05273
112.5,11350.05273
112.75,11350.05273
113,11350.05273
113.25,11350.05273
113.5,11350.05273
113.75,11350.05273
114,11350.05273
114.25,11350.05273
114.5,11350.05273
114.75,11350.05273
115,11350.05273
115.25,11350.05273
115.5,11350.05273
115.75,11362.90137
116,11374.69434
116.25,11403.09277
116.5,11422.41895
116.75,11454.63965
117,11473.90137
117.25,11483.69336
117.5,11496.62207
117.75,11515.99805
118,11520.85742
118.25,11588.93555
118.5,11588.93555
118.75,11603.55469
119,11603.55469
119.25,11627.92578
119.5,11627.92578
119.75,11627.92578
120,11627.92578
120.25,11647.26758
120.5,11647.26758
120.75,11647.26758
121,11647.26758
121.25,11661.8457
121.5,11661.8457
121.75,11661.8457
122,11661.8457
122.25,11671.59766
122.5,11671.59766
122.75,11671.59766
123,11671.59766
123.25,11671.59766
123.5,11671.59766
123.75,11671.59766
124,11671.59766
124.25,11671.59766
124.5,11671.59766
124.75,11671.59766
125,11671.59766
125.25,11671.59766
125.5,11671.59766
125.75,11671.59766
126,11671.59766
126.25,11671.59766
126.5,11671.59766
126.75,11671.59766
127,11671.59766
127.25,11671.59766
127.5,11671.59766
127.75,11671.59766
128,11671.59766
128.25,11671.59766
128.5,11671.59766
128.75,11671.59766
129,11671.59766
129.25,11671.59766
129.5,11671.59766
129.75,11671.59766
130,11671.59766
130.25,11671.59766
130.5,11671.59766
130.75,11671.59766
131,11671.59766
131.25,11671.59766
131.5,11671.59766
131.75,11671.59766
132,11671.59766
132.25,11671.59766
132.5,11671.59766
132.75,11671.59766
133,11671.59766
133.25,11671.59766
133.5,11671.59766
133.75,11671.59766
134,11671.59766
134.25,11671.59766
134.5,11671.59766
134.75,11671.59766
135,11671.59766
135.25,11671.59766
135.5,11671.59766
135.75,11670.35938
136,11669.375
136.25,11664.45801
136.5,11661.27832
136.75,11657.33594
137,11646.33789
137.25,11641.28223
137.5,11641.28223
137.75,11634.29199
138,11629.50684
138.25,11623.79883
138.5,11610.61035
138.75,11607.25977
139,11606.9043
139.25,11606.35547
139.5,11600.73926
139.75,11600.74023
140,11600.74023
140.25,11597.02832
140.5,11597.02832
140.75,11597.02832
141,11597.02832
141.25,11593.93164
141.5,11593.32031
141.75,11593.32031
142,11593.32031
142.25,11592.9248
142.5,11589.61621
142.75,11589.61621
143,11589.61621
143.25,11589.61621
143.5,11589.61621
143.75,11589.61621
144,11589.61621
144.25,11589.61621
144.5,11589.61621
144.75,11589.61621
145,11589.61621
145.25,11589.61621
145.5,11589.61621
145.75,11589.61621
146,11589.61621
146.25,11589.61621
146.5,11589.61621
146.75,11589.61621
147,11589.61621
147.25,11589.61621
147.5,11589.61621
147.75,11589.61621
148,11589.61621
148.25,11589.61621
148.5,11589.61621
148.75,11589.61621
149,11589.61621
149.25,11589.61621
149.5,11589.61621
149.75,11589.61621
150,11589.61621
150.25,11589.61621
150.5,11589.61621
150.75,11589.61621
151,11589.61621
151.25,11589.61621
151.5,11589.61621
151.75,11589.61621
152,11589.61621
152.25,11589.61621
152.5,11589.61621
152.75,11589.61621
153,11589.61621
153.25,11589.61621
153.5,11589.61621
153.75,11589.61621
154,11589.61621
154.25,11589.61621
154.5,11589.61621
154.75,11589.61621
155,11589.61621
155.25,11589.61621
155.5,11589.61621
155.75,11589.61621
156,11589.61621
156.25,11589.61621
156.5,11600.94531
156.75,11602.19336
157,11611.75586
157.25,11626.30762
157.5,11632.00586
157.75,11632.04395
158,11644.6748
158.25,11654.81836
158.5,11671.32617
158.75,11677.33105
159,11683.04883
159.25,11683.04883
159.5,11694.80469
159.75,11698.60352
160,11698.60352
160.25,11698.60352
160.5,11704.2998
160.75,11704.2998
161,11704.2998
161.25,11704.2998
161.5,11710.00488
161.75,11710.00488
162,11710.00488
162.25,11710.00488
162.5,11715.71973
162.75,11715.71973
163,11715.71973
163.25,11715.71973
163.5,11715.71973
163.75,11715.71973
164,11715.71973
164.25,11715.71973
164.5,11715.71973
164.75,11715.71973
165,11715.71973
165.25,11715.71973
165.5,11715.71973
165.75,11715.71973
166,11715.71973
166.25,11715.71973
166.5,11715.71973
166.75,11715.71973
167,11715.71973
167.25,11715.71973
167.5,11715.71973
167.75,11715.71973
168,11715.71973
168.25,11715.71973
168.5,11715.71973
168.75,11715.71973
169,11715.71973
169.25,11715.71973
169.5,11715.71973
169.75,11715.71973
170,11715.71973
170.25,11715.71973
170.5,11715.71973
170.75,11715.71973
171,11715.71973
171.25,11715.71973
171.5,11715.71973
171.75,11715.71973
172,11715.71973
172.25,11715.71973
172.5,11715.71973
172.75,11715.71973
173,11715.71973
173.25,11715.71973
173.5,11715.71973
173.75,11715.71973
174,11715.71973
174.25,11715.71973
174.5,11715.71973
174.75,11715.71973
175,11715.71973
175.25,11715.71973
175.5,11715.71973
175.75,11715.71973
176,11715.71973
176.25,11715.71973
176.5,11714.7334
176.75,11706.72363
177,11702.24414
177.25,11693.00195
177.5,11687.24609
177.75,11684.4873
178,11678.49219
178.25,11671.41895
178.5,11668.11816
178.75,11653.78711
179,11653.41602
179.25,11649.53809
179.5,11649.53809
179.75,11635.87402
180,11635.8623
180.25,11634.44727
180.5,11634.42578
180.75,11631.6084
181,11631.6084
181.25,11631.6084
181.5,11631.6084
181.75,11625.9375
182,11625.9375
182.25,11625.9375
182.5,11625.9375
182.75,11621.68945
183,11621.68945
183.25,11621.68945
183.5,11621.68945
183.75,11621.69043
184,11621.69043
184.25,11621.69043
184.5,11621.69043
184.75,11621.69043
185,11621.69043
185.25,11621.69043
185.5,11621.69043
185.75,11621.69043
186,11621.69043
186.25,11621.69043
186.5,11621.69043
186.75,11621.69043
187,11621.69043
187.25,11621.69043
187.5,11621.69043
187.75,11621.69043
188,11621.69043
188.25,11621.69043
188.5,11621.69043
188.75,11621.69043
189,11621.69043
189.25,11621.69043
189.5,11621.69043
189.75,11621.69043
190,11621.69043
190.25,11621.69043
190.5,11621.69043
190.75,11621.69043
191,11621.69043
191.25,11621.69043
191.5,11621.69043
191.75,11621.69043
192,11621.69043
192.25,11621.69043
192.5,11621.69043
192.75,11621.69043
193,11621.69043
193.25,11621.69043
193.5,11621.69043
193.75,11621.69043
194,11621.69043
194.25,11621.69043
194.5,11621.69043
194.75,11621.69043
