Time, Ptotal,regD,Time regD,power
5832.25,13771.58301,-0.357200265,5832.25,11300.06489
5832.5,13771.58301,-0.36538041,5834.25,6346.1959
5832.75,13771.58301,-0.36314197,5836.25,6368.5803
5833,13771.58301,-0.360903498,5838.25,6390.96502
5833.25,13771.58301,-0.358665058,5840.25,6413.34942
5833.5,13771.58301,-0.356426618,5842.25,6435.73382
5833.75,13771.58301,-0.344836609,5844.25,6551.63391
5834,13771.58301,-0.333246601,5846.25,6667.53399
5834.25,13771.58301,-0.311513485,5848.25,6884.86515
5834.5,13511.63379,-0.289780339,5850.25,7102.19661
5834.75,13157.22852,-0.283356554,5852.25,7166.43446
5835,12865.25684,-0.27693277,5854.25,7230.6723
5835.25,12384.62695,-0.270508986,5856.25,7294.91014
5835.5,11985.29102,-0.264085217,5858.25,7359.14783
5835.75,11915.06055,-0.257661433,5860.25,7423.38567
5836,11378.66406,-0.258352184,5862.25,7416.47816
5836.25,10499.40137,-0.259042951,5864.25,7409.57049
5836.5,10155.99609,-0.259733701,5866.25,7402.66299
5836.75,9735.787109,-0.260424452,5868.25,7395.75548
5837,9301.777344,-0.246599702,5870.25,7534.00298
5837.25,9257.379883,-0.232774935,5872.25,7672.25065
5837.5,8853.195313,-0.218950185,5874.25,7810.49815
5837.75,8191.369629,-0.197101363,5876.25,8028.98637
5838,8003.95752,-0.175252556,5878.25,8247.47444
5838.25,8003.95752,-0.153403733,5880.25,8465.96267
5838.5,7892.06543,-0.131554919,5882.25,8684.45081
5838.75,7783.473145,-0.125743138,5884.25,8742.56862
5839,7783.473145,-0.119931364,5886.25,8800.68636
5839.25,7783.473145,-0.114119583,5888.25,8858.80417
5839.5,7576.186523,-0.123700116,5890.25,8762.99884
5839.75,7576.186523,-0.133280642,5892.25,8667.19358
5840,7576.186523,-0.142861175,5894.25,8571.38825
5840.25,7576.186523,-0.136943604,5896.25,8630.56396
5840.5,7201.207031,-0.131026017,5898.25,8689.73983
5840.75,7201.207031,-0.125108439,5900.25,8748.91561
5841,7201.207031,-0.106216126,5902.25,8937.83874
