Time, Ptotal,regD,Time regD,Power
19206,9999.999023,,,
19206.25,9999.999023,,,
19206.5,9999.999023,,,
19206.75,9999.999023,,,
19207,9999.999023,,,
19207.25,9999.999023,,,
19207.5,9999.999023,,,
19207.75,9999.999023,,,
19208,9999.999023,,,
19208.25,9999.999023,,,
19208.5,9999.999023,-0.357200265,19208.5,6427.99735
19208.75,9999.999023,-0.36538041,19210.5,6346.1959
19209,9999.999023,-0.36314197,19212.5,6368.5803
19209.25,9999.999023,-0.360903498,19214.5,6390.96502
19209.5,9999.999023,-0.358665058,19216.5,6413.34942
19209.75,9999.999023,-0.356426618,19218.5,6435.73382
19210,9999.999023,-0.344836609,19220.5,6551.63391
19210.25,9999.999023,-0.333246601,19222.5,6667.53399
19210.5,9999.999023,-0.311513485,19224.5,6884.86515
19210.75,9999.999023,-0.289780339,19226.5,7102.19661
19211,9999.999023,-0.283356554,19228.5,7166.43446
19211.25,9999.999023,-0.27693277,19230.5,7230.6723
19211.5,9999.999023,-0.270508986,19232.5,7294.91014
19211.75,9999.999023,-0.264085217,19234.5,7359.14783
19212,9999.999023,-0.257661433,19236.5,7423.38567
19212.25,9999.999023,-0.258352184,19238.5,7416.47816
19212.5,9999.999023,-0.259042951,19240.5,7409.57049
19212.75,9953.233398,-0.259733701,19242.5,7402.66299
19213,9891.233398,-0.260424452,19244.5,7395.75548
19213.25,9645.639648,-0.246599702,19246.5,7534.00298
19213.5,9386.374023,-0.232774935,19248.5,7672.25065
19213.75,9147.203125,-0.218950185,19250.5,7810.49815
19214,8930.177734,-0.197101363,19252.5,8028.98637
19214.25,8875.90625,-0.175252556,19254.5,8247.47444
19214.5,8724.862305,-0.153403733,19256.5,8465.96267
19214.75,8540.283203,-0.131554919,19258.5,8684.45081
19215,8373.241211,-0.125743138,19260.5,8742.56862
19215.25,7930.095703,-0.119931364,19262.5,8800.68636
19215.5,7876.115234,-0.114119583,19264.5,8858.80417
19215.75,7774.364746,-0.123700116,19266.5,8762.99884
19216,7733.931641,-0.133280642,19268.5,8667.19358
19216.25,7505.038086,-0.142861175,19270.5,8571.38825
19216.5,7505.037109,-0.136943604,19272.5,8630.56396
19216.75,7505.029785,-0.131026017,19274.5,8689.73983
19217,7369.144043,-0.125108439,19276.5,8748.91561
19217.25,7369.144043,-0.106216126,19278.5,8937.83874
19217.5,7369.144043,-0.087323821,19280.5,9126.76179
19217.75,7369.144043,-0.068431508,19282.5,9315.68492
19218,7318.457031,-0.049539203,19284.5,9504.60797
19218.25,7239.926758,-0.030646891,19286.5,9693.53109
19218.5,7239.926758,-0.000482823,19288.5,9995.17177
19218.75,7239.926758,0.015711061,19290.5,10157.11061
19219,7198.336426,0.042560474,19292.5,10425.60474
19219.25,7117.368652,0.042560474,19294.5,10425.60474
19219.5,7117.368652,0.085195625,19296.5,10851.95625
19219.75,7117.368652,0.107601053,19298.5,11076.01053
19220,7117.368652,0.130006489,19300.5,11300.06489
19220.25,7117.368652,0.152411916,19302.5,11524.11916
19220.5,7117.368652,0.174817352,19304.5,11748.17352
19220.75,7117.368652,0.197222772,19306.5,11972.22772
19221,7117.368652,0.219628208,19308.5,12196.28208
19221.25,7117.368652,0.237743258,19310.5,12377.43258
19221.5,7117.368652,0.255858309,19312.5,12558.58309
19221.75,7117.368652,0.264889925,19314.5,12648.89925
19222,7117.368652,0.283595309,19316.5,12835.95309
19222.25,7117.368652,0.302300677,19318.5,13023.00677
19222.5,7117.368652,0.321006045,19320.5,13210.06045
19222.75,7117.368652,0.348003526,19322.5,13480.03526
19223,7117.368652,0.375000973,19324.5,13750.00973
19223.25,7117.368652,0.401998453,19326.5,14019.98453
