Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
0.25, 0.0, 6791.150390625, 0.5121298432350159
0.5, 0.0, 98.92020416259766, 0.5274261832237244
0.75, 0.0, -2098.923828125, 0.5413838624954224
1.0, 0.0, -1288.662353515625, 0.5550389289855957
1.25, 0.0, -560.010498046875, 0.5622690320014954
1.5, 0.0, -237.0011749267578, 0.5636540651321411
1.75, 0.0, -131.31063842773438, 0.5638840794563293
2.0, 0.0, -98.439453125, 0.5639342665672302
2.25, 0.0, -86.26696014404297, 0.5639529824256897
2.5, 0.0, -79.85240936279297, 0.5639666318893433
2.75, 0.0, -74.72055053710938, 0.5639799237251282
3.0, 0.0, -71.3310775756836, 0.5639927983283997
3.25, 0.0, -68.39301300048828, 0.564005434513092
3.5, 0.0, -65.56652069091797, 0.5640184283256531
3.75, 0.0, -62.3895149230957, 0.5640313625335693
4.0, 2000.0, -18.03430938720703, 0.5640441179275513
4.25, 2000.0, 242.86338806152344, 0.5640566945075989
4.5, 2000.0, 1160.4085693359375, 0.5640684366226196
4.75, 2000.0, 1611.2724609375, 0.5640777349472046
5.0, 2000.0, 1826.9969482421875, 0.5640855431556702
5.25, 2000.0, 1918.716552734375, 0.564092755317688
5.5, 2000.0, 1954.7225341796875, 0.5640997290611267
5.75, 2000.0, 1971.0203857421875, 0.5641067028045654
6.0, 2000.0, 1993.245361328125, 0.5641134977340698
6.25, 2000.0, 1988.5791015625, 0.5641202330589294
6.5, 2000.0, 1995.1295166015625, 0.5641269683837891
6.75, 2000.0, 1998.8248291015625, 0.5641337633132935
7.0, 2000.0, 1998.5006103515625, 0.5641405582427979
7.25, 2000.0, 1997.3480224609375, 0.5641472935676575
7.5, 2000.0, 1999.255859375, 0.5641540288925171
7.75, 2000.0, 1999.595947265625, 0.5641607642173767
8.0, 2000.0, 1997.5037841796875, 0.5641674995422363
8.25, 2000.0, 1999.255615234375, 0.564174234867096
8.5, 3000.0, 2010.0975341796875, 0.5641809701919556
8.75, 3000.0, 2726.732421875, 0.5641868114471436
9.0, 3000.0, 2892.324462890625, 0.5641918182373047
9.25, 3000.0, 2947.255126953125, 0.5641964077949524
9.5, 3000.0, 2972.36328125, 0.5642008781433105
9.75, 3000.0, 2988.06689453125, 0.5642054080963135
10.0, 3000.0, 2986.66845703125, 0.5642099380493164
10.25, 3000.0, 2993.79052734375, 0.5642143487930298
10.5, 3000.0, 2999.485595703125, 0.5642188191413879
10.75, 3000.0, 2996.56689453125, 0.5642231106758118
