Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.0, 649.5753784179688, 6764.7529296875, 0.4999963939189911, 649.4661254882812, 7000.0, 1000.0
0.25, 161.56918334960938, 6683.75439453125, 0.49998700618743896, 161.7047882080078, 7000.0, 1000.0
0.5, 1080.235107421875, 6736.08837890625, 0.4999781548976898, 1080.6427001953125, 7000.0, 1000.0
0.75, 1331.19677734375, 6889.2587890625, 0.4999693036079407, 1331.250244140625, 7000.0, 1000.0
1.0, 1106.431884765625, 6962.36083984375, 0.4999603033065796, 1106.2900390625, 7000.0, 1000.0
1.25, 1025.027587890625, 6986.06494140625, 0.49995115399360657, 1024.8839111328125, 7000.0, 1000.0
1.5, 1031.498046875, 6999.45263671875, 0.49994203448295593, 1031.5067138671875, 7000.0, 1000.0
1.75, 1034.6737060546875, 6999.896484375, 0.49993303418159485, 1034.68359375, 7000.0, 1000.0
2.0, 1030.1197509765625, 6998.93505859375, 0.4999240040779114, 1030.146728515625, 7000.0, 1000.0
2.25, 1025.7225341796875, 6999.59814453125, 0.4999150037765503, 1025.674072265625, 7000.0, 1000.0
2.5, 1021.3571166992188, 7002.0556640625, 0.4999060332775116, 1021.3390502929688, 7000.0, 1000.0
2.75, 1017.7800903320312, 7017.6044921875, 0.4998970627784729, 1075.921142578125, 8000.0, 2000.0
3.0, 1015.45361328125, 7764.55908203125, 0.49988770484924316, 1759.590576171875, 8000.0, 2000.0
3.25, 1014.317138671875, 8045.25634765625, 0.4998774528503418, 2123.09033203125, 8000.0, 2000.0
3.5, 1012.4439086914062, 7945.107421875, 0.4998672604560852, 2136.275390625, 8000.0, 2000.0
3.75, 1099.166015625, 8031.37744140625, 0.4998571276664734, 2009.6556396484375, 8000.0, 2000.0
4.0, 1770.049560546875, 7985.203125, 0.499846875667572, 1979.2401123046875, 8000.0, 2000.0
4.25, 2122.16748046875, 8000.48046875, 0.499836802482605, 2005.2943115234375, 8000.0, 2000.0
4.5, 2128.89208984375, 7997.4443359375, 0.49982669949531555, 2016.3514404296875, 8000.0, 2000.0
4.75, 2005.4459228515625, 7995.8828125, 0.4998165965080261, 2011.437744140625, 8000.0, 2000.0
5.0, 1977.3643798828125, 8002.82568359375, 0.4998065233230591, 2005.51708984375, 8000.0, 2000.0
5.25, 2003.006591796875, 7997.81884765625, 0.49979642033576965, 2004.3470458984375, 8000.0, 2000.0
5.5, 2013.4713134765625, 7997.13134765625, 0.49978628754615784, 2004.603759765625, 8000.0, 2000.0
5.75, 2008.803955078125, 7995.36669921875, 0.49977603554725647, 2004.896240234375, 8000.0, 2000.0
